regime,session,cooldown,atr_filter,direction,total_trades,win_rate,profit_factor,expectancy,max_drawdown_r,sharpe
ALL,ALL,0,ALL,BOTH,354,34.75,1.331,0.216,24.5,0.129
ALL,ALL,0,ALL,BUY_ONLY,170,41.18,1.75,0.441,14.5,0.255
ALL,ALL,0,ALL,SELL_ONLY,200,30.5,1.097,0.068,28.5,0.042
ALL,ALL,0,MID_ONLY,BOTH,263,34.6,1.323,0.211,18.5,0.127
ALL,ALL,0,MID_ONLY,BUY_ONLY,128,42.19,1.824,0.477,11.0,0.275
ALL,ALL,0,MID_ONLY,SELL_ONLY,145,28.97,1.019,0.014,19.0,0.009
ALL,ALL,3,ALL,BOTH,351,34.76,1.332,0.217,22.5,0.13
ALL,ALL,3,ALL,BUY_ONLY,170,41.18,1.75,0.441,14.5,0.255
ALL,ALL,3,ALL,SELL_ONLY,199,30.65,1.105,0.073,27.5,0.045
ALL,ALL,3,MID_ONLY,BOTH,258,34.88,1.339,0.221,16.5,0.132
ALL,ALL,3,MID_ONLY,BUY_ONLY,128,42.19,1.824,0.477,11.0,0.275
ALL,ALL,3,MID_ONLY,SELL_ONLY,145,28.97,1.019,0.014,19.0,0.009
ALL,ALL,6,ALL,BOTH,348,35.06,1.35,0.227,22.5,0.136
ALL,ALL,6,ALL,BUY_ONLY,169,41.42,1.768,0.45,13.5,0.26
ALL,ALL,6,ALL,SELL_ONLY,198,30.3,1.087,0.061,27.5,0.038
ALL,ALL,6,MID_ONLY,BOTH,256,34.77,1.332,0.217,16.5,0.13
ALL,ALL,6,MID_ONLY,BUY_ONLY,128,42.19,1.824,0.477,11.0,0.275
ALL,ALL,6,MID_ONLY,SELL_ONLY,145,28.97,1.019,0.014,19.0,0.009
ALL,ALL,12,ALL,BOTH,341,35.19,1.357,0.232,20.5,0.138
ALL,ALL,12,ALL,BUY_ONLY,168,41.07,1.742,0.438,13.5,0.253
ALL,ALL,12,ALL,SELL_ONLY,194,30.93,1.119,0.082,24.5,0.051
ALL,ALL,12,MID_ONLY,BOTH,252,34.92,1.341,0.222,15.5,0.133
ALL,ALL,12,MID_ONLY,BUY_ONLY,127,41.73,1.791,0.461,11.0,0.266
ALL,ALL,12,MID_ONLY,SELL_ONLY,144,29.17,1.029,0.021,19.0,0.013
ALL,NY_ONLY,0,ALL,BOTH,55,23.64,0.774,-0.173,18.5,-0.115
ALL,NY_ONLY,0,ALL,BUY_ONLY,20,35.0,1.346,0.225,4.0,0.131
ALL,NY_ONLY,0,ALL,SELL_ONLY,36,16.67,0.5,-0.417,17.5,-0.315
ALL,NY_ONLY,0,MID_ONLY,BOTH,41,26.83,0.917,-0.061,13.0,-0.039
ALL,NY_ONLY,0,MID_ONLY,BUY_ONLY,17,41.18,1.75,0.441,3.0,0.248
ALL,NY_ONLY,0,MID_ONLY,SELL_ONLY,25,16.0,0.476,-0.44,14.0,-0.336
ALL,NY_ONLY,3,ALL,BOTH,55,23.64,0.774,-0.173,18.5,-0.115
ALL,NY_ONLY,3,ALL,BUY_ONLY,20,35.0,1.346,0.225,4.0,0.131
