fold,train_months,test_month,threshold,trades,win_rate_pct,profit_factor,max_dd_r,expectancy_r,net_r
1,2025-10 to 2025-12,2026-01,0.5,27,33.33,1.25,7.0,0.167,4.5
1,2025-10 to 2025-12,2026-01,0.55,20,35.0,1.346,5.5,0.225,4.5
1,2025-10 to 2025-12,2026-01,0.6,14,50.0,2.5,3.0,0.75,10.5
1,2025-10 to 2025-12,2026-01,0.65,6,83.33,12.5,1.0,1.917,11.5
2,2025-11 to 2026-01,2026-02,0.5,45,20.0,0.625,21.5,-0.3,-13.5
2,2025-11 to 2026-01,2026-02,0.55,41,17.07,0.515,20.5,-0.402,-16.5
2,2025-11 to 2026-01,2026-02,0.6,34,17.65,0.536,17.5,-0.382,-13.0
2,2025-11 to 2026-01,2026-02,0.65,30,16.67,0.5,17.5,-0.417,-12.5
3,2025-12 to 2026-02,2026-03,0.5,32,46.88,2.206,5.0,0.641,20.5
3,2025-12 to 2026-02,2026-03,0.55,24,41.67,1.786,6.0,0.458,11.0
3,2025-12 to 2026-02,2026-03,0.6,19,36.84,1.458,5.0,0.289,5.5
3,2025-12 to 2026-02,2026-03,0.65,13,38.46,1.562,4.0,0.346,4.5
4,2026-01 to 2026-03,2026-04,0.5,67,29.85,1.064,10.0,0.045,3.0
4,2026-01 to 2026-03,2026-04,0.55,50,26.0,0.878,12.0,-0.09,-4.5
4,2026-01 to 2026-03,2026-04,0.6,43,25.58,0.859,9.5,-0.105,-4.5
4,2026-01 to 2026-03,2026-04,0.65,36,27.78,0.962,7.5,-0.028,-1.0
5,2026-02 to 2026-04,2026-05,0.5,75,36.0,1.406,18.0,0.26,19.5
5,2026-02 to 2026-04,2026-05,0.55,60,35.0,1.346,14.0,0.225,13.5
5,2026-02 to 2026-04,2026-05,0.6,46,36.96,1.466,11.5,0.293,13.5
5,2026-02 to 2026-04,2026-05,0.65,32,40.62,1.711,9.0,0.422,13.5
6,2026-03 to 2026-05,2026-06,0.5,61,27.87,0.966,17.5,-0.025,-1.5
6,2026-03 to 2026-05,2026-06,0.55,51,27.45,0.946,15.0,-0.039,-2.0
6,2026-03 to 2026-05,2026-06,0.6,31,22.58,0.729,10.5,-0.21,-6.5
6,2026-03 to 2026-05,2026-06,0.65,13,15.38,0.455,10.0,-0.462,-6.0
