candidate_probability,market_score,session,market_regime,volatility_bucket,direction,memory_confidence,memory_pf,memory_matches,is_win
0.52474344,85.81584659913185,1,3,0,0,0.0,0.0,0.0,1
0.5941269,86.81866761667243,1,0,0,0,0.0,0.0,0.0,0
0.5514888,87.61167249031998,1,0,0,0,0.0,0.0,0.0,1
0.57074237,81.56634475459714,1,0,0,0,0.0,0.0,0.0,0
0.52474344,85.61496680748328,1,0,0,0,0.0,0.0,0.0,1
0.57307,82.53374870197318,1,0,0,0,0.0,0.0,0.0,1
0.57307,83.1538056360287,1,0,0,0,0.0,0.0,0.0,1
0.65653914,86.38938733658013,1,0,0,0,0.0,0.0,0.0,1
0.57307,83.18874560375161,1,0,0,0,0.0,0.0,0.0,0
0.52196616,87.53457446808534,1,0,0,0,0.0,0.0,0.0,0
0.59971666,82.56395679363285,1,0,0,0,0.0,0.0,0.0,1
0.57307,82.53604092388771,1,0,0,0,0.0,0.0,0.0,1
0.6060947,84.88552392489382,1,0,0,0,0.0,0.0,0.0,0
0.53374225,97.61068277561408,0,3,0,0,0.0,0.0,0.0,1
0.58682287,86.39528137690894,0,0,0,0,0.0,0.0,0.0,1
0.5421829,91.0544835414303,1,3,0,0,0.0,0.0,0.0,1
0.5164799,82.15124341314618,2,3,0,0,0.0,0.0,0.0,1
0.55746776,81.79690929844583,2,3,0,0,0.0,0.0,0.0,0
0.5321321,82.84002107296499,2,0,0,0,0.0,0.0,0.0,0
0.5321321,82.59373079287029,2,0,0,0,0.0,0.0,0.0,1
0.5321321,81.43735183071361,2,0,0,0,0.0,0.0,0.0,1
0.52245295,93.99648917495588,0,0,0,0,0.0,0.0,0.0,1
0.5493443,86.79875537658961,1,0,0,0,0.0,0.0,0.0,1
0.58962333,90.31463748290048,0,3,0,0,0.0,0.0,0.0,0
0.531773,90.7813000320202,1,3,0,0,0.0,0.0,0.0,1
0.531773,94.84778292521506,1,2,0,0,0.0,0.0,0.0,0
0.5270056,96.27760510387688,1,2,0,0,0.0,0.0,0.0,1
0.6339058,81.84639782510207,0,1,0,0,0.0,0.0,0.0,0
0.6339058,81.74671499773439,0,1,0,0,0.0,0.0,0.0,0
