timestamp,symbol,side,scanner_status,portfolio_status,reason,original_risk_pct,final_risk_pct,estimated_lot,final_score,var_95,cvar_95,warnings
2026-06-24T17:58:55.696481,BTCUSD,SELL,APPROVED,APPROVED,OK,0.010000,0.010000,0.01,59.40,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.697536,ETHUSD,BUY,APPROVED,REJECTED,Min lot bump (0.01) causes risk breach: Exceeds max CRYPTO risk (2.05% > 2.00%),0.010000,0.000000,0.00,51.73,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.698592,GBPUSD,BUY,APPROVED,APPROVED,OK,0.010000,0.010000,2.50,50.18,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.699785,XAUUSD,SELL,APPROVED,APPROVED,OK,0.010000,0.010000,1.33,42.11,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.700835,XAGUSD,SELL,REJECTED,N/A,Low model probability 0.29 < 0.55 | Expected R 0.00 <= 0,0.010000,0.000000,0.00,0.00,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.701364,NAS100,SELL,REJECTED,N/A,Spread 47 > Max 30,0.010000,0.000000,0.00,0.00,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.701888,US500,BUY,REJECTED,N/A,Spread 47 > Max 10,0.010000,0.000000,0.00,0.00,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.702953,GER40,BUY,REJECTED,N/A,Low model probability 0.34 < 0.55 | Spread 56 > Max 20,0.010000,0.000000,0.00,0.00,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.702953,EURUSD,SELL,REJECTED,N/A,Low model probability 0.32 < 0.55 | Spread 39 > Max 15,0.010000,0.000000,0.00,0.00,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.703474,USDJPY,SELL,REJECTED,N/A,Spread 46 > Max 20,0.010000,0.000000,0.00,0.00,0.00,0.00,STATIC_CORRELATION_USED
2026-06-24T17:58:55.725734,XAUUSD,SELL,APPROVED,APPROVED,OK,0.010000,0.010000,1.33,50.98,0.00,0.00,STATIC_CORRELATION_USED
