context,total_trades,skipped_trades,saved_loss,opportunity_cost
Asia + CHOPPY_TREND,118,66,41.25,47.550000000000004
Asia + CONTRACTING,59,13,11.05,9.675
Asia + EXPANDING,35,23,15.55,13.8
Asia + NORMAL,212,99,58.0,80.175
London + CHOPPY_TREND,306,76,55.800000000000004,68.775
London + CONTRACTING,5,0,0.0,0.0
London + EXPANDING,70,18,12.0,15.15
London + NORMAL,312,54,46.0,67.95
NY + CHOPPY_TREND,135,51,39.2,39.6
NY + CONTRACTING,58,9,6.2,15.975000000000001
NY + EXPANDING,36,14,8.1,12.600000000000001
NY + NORMAL,112,25,20.5,29.85
