rolling_window,recovery_trades,disabled_threshold,degraded_multiplier,warning_multiplier,passing_windows,overall_pf,skipped_pct,skipped_trades,mandatory_pass,worst_dd,w6_dd,w8_dd,w10_dd,asia_normal_opp_cost
15,5,0.64,0.6,0.85,7,1.611753731343284,0.3497942386831276,510,True,-9.9,-9.9,-8.65,-8.749999999999998,81.44999999999999
15,5,0.64,0.6,0.9,7,1.6080914904082637,0.3497942386831276,510,True,-10.1,-10.1,-8.7,-9.100000000000001,80.7
15,5,0.64,0.7,0.85,7,1.6031295311744806,0.3497942386831276,510,True,-10.025,-9.9,-9.45,-9.299999999999999,80.4
15,5,0.64,0.7,0.9,7,1.5996653919694075,0.3497942386831276,510,True,-10.1,-10.1,-9.5,-9.650000000000002,79.65
15,5,0.5,0.6,0.85,7,1.629356488640419,0.30727023319615915,448,True,-9.9,-9.9,-8.65,-8.749999999999998,80.175
15,5,0.5,0.6,0.9,7,1.6265569917743832,0.30727023319615915,448,True,-10.1,-10.1,-8.7,-9.100000000000001,79.35
15,5,0.5,0.7,0.85,7,1.6190256823678453,0.30727023319615915,448,True,-10.9,-9.9,-9.45,-9.299999999999999,79.125
15,5,0.5,0.7,0.9,7,1.616435237878443,0.30727023319615915,448,True,-10.900000000000004,-10.1,-9.5,-9.650000000000002,78.30000000000001
15,10,0.64,0.6,0.85,7,1.5953332473894548,0.3731138545953361,544,True,-9.9,-9.9,-9.475000000000001,-8.749999999999998,82.64999999999999
15,10,0.64,0.6,0.9,7,1.5913841447871528,0.3731138545953361,544,True,-10.1,-10.1,-9.55,-9.100000000000001,81.9
15,10,0.64,0.7,0.85,7,1.5884119634588916,0.3731138545953361,544,True,-10.175,-9.9,-10.175,-9.299999999999999,81.3
15,10,0.64,0.7,0.9,7,1.5846534653465347,0.3731138545953361,544,True,-10.250000000000002,-10.1,-10.250000000000002,-9.650000000000002,80.55000000000001
15,10,0.5,0.6,0.85,7,1.6016888250089834,0.31824417009602196,464,True,-9.9,-9.9,-8.65,-8.749999999999998,80.175
15,10,0.5,0.6,0.9,7,1.5986982248520714,0.31824417009602196,464,True,-10.1,-10.1,-8.7,-9.100000000000001,79.35
15,10,0.5,0.7,0.85,7,1.592564667671964,0.31824417009602196,464,True,-10.9,-9.9,-9.45,-9.299999999999999,79.125
15,10,0.5,0.7,0.9,7,1.5897729878468239,0.31824417009602196,464,True,-10.900000000000004,-10.1,-9.5,-9.650000000000002,78.30000000000001
15,15,0.64,0.6,0.85,5,1.5685534591194967,0.42112482853223593,614,False,-11.300000000000011,-9.9,-9.425,-8.749999999999998,91.425
